주소,latitude,longitude
서울특별시 영등포구 가마산로 540,37.5039116,126.9013798
서울특별시 송파구 올림픽로,37.5107105,127.0709259
서울특별시 노원구 노원로 ,37.63669,127.0801
서울특별시 강서구 발산로 40,37.5532574,126.8207678002502
서울특별시 송파구 양재대로 932,37.4961183,127.11201297375482
서울특별시 강남구 개포동 1273,37.48421,127.07006
서울특별시 강남구 도곡동 922,37.4878395,127.0438569
서울특별시 강남구 수서동 718,37.48445,127.09838
서울특별시 강동구 천호대로 1183,37.5338513,127.1394046
서울특별시 강북구 오현로 117,37.6171416,127.0329704
서울특별시 노원구 동일로197길 24,37.62861,127.07001
서울특별시 서초구 사평대로28길 70,37.4971129,127.0005545
서울특별시 서초구 방배로23길 31-6,37.4859042,126.9925818
서울특별시 서초구 서초대로54길 45,37.4930373,127.0168302
서울특별시 서초구 원지동 361-1,37.44499,127.04933
서울특별시 서초구 동산로 35,37.471246,127.0437755
서울특별시 영등포구 신길로60길 34,37.5130477,126.913242
서울특별시 영등포구 대림로 244,37.50165,126.89696
서울특별시 중랑구 겸재로23길 27,37.5879106,127.0813001
서울특별시 중랑구 중화동 73-5,37.59755,127.07783
서울특별시 중랑구 중화동 73-10,37.59755,127.07783
서울특별시 중랑구 중화동 73-6,37.59755,127.07783
서울특별시 광진구 능동로 76,37.5375483,127.069398
서울특별시 동대문구 회기로 85,37.5900593,127.057953
서울특별시 성동구 청계천로 540,37.5727293,127.0412758
서울특별시 양천구 목동동로 257,37.526520000000005,126.8752476
서울특별시 마포구 월드컵로 212,37.5620328,126.9047326
서울특별시 영등포구 여의도동 1,37.5267088,126.9238
서울특별시 구로구 경인로 113,37.5077639,126.8863631
서울특별시 금천구 금하로 764,37.4494858,126.9148116
서울특별시 강서구 초록마을로 126,37.5390274,126.8516039
서울특별시 도봉구 쌍문1동 378-35,37.654393049999996,127.01733535669669
서울특별시 강북구 오현로21길 84,37.6258555,127.035244
서울특별시 광진구 뚝섬로52길 74-1,37.5303492,127.0788659
서울특별시 은평구 진흥로 58,37.6117621,126.9372505
서울특별시 마포구 마포대로 183,37.5448226,126.9515512
서울특별시 성북구 화랑로 296,37.6142741,127.0645938
서울특별시 강서구 양천로 550,37.5733661,126.8166863
서울특별시 강남구 테헤란로114길 11,37.5094404,127.06707157813565
서울특별시 서대문구 통일로 97,37.563523,126.967443
서울특별시 동대문구 장한로 34,37.561392,127.064624
서울특별시 동작구 여의대방로10길 97,37.4921688,126.9153404
서울특별시 종로구 사직로8길 31,37.575042499999995,126.97197377631629
서울특별시 강북구 우이동 산101-5,0.0,0.0
서울특별시 마포구 염리동 61-4,37.54914,126.94915
서울특별시 동대문구 사가정로 30,37.5787528,127.0702559
서울특별시 강서구 화곡로 308,37.5542861,126.8514388
서울특별시 강남구 개포로 509,37.4890796,127.0659768
서울특별시 강남구 일원동 4-49,37.48754,127.08705
서울특별시 금천구 범안로12가길 65,37.4651364,126.8938702
서울특별시 마포구 마포대로1길 19,37.5390898,126.9438503
서울특별시 노원구 공릉로58길 24,37.6363705,127.0748619
서울특별시 강남구 논현로 508 (GS타워 지하5층),0.0,0.0
서울특별시 중구 마른내로 31,37.5644364,127.0048558
서울특별시 성북구 동소문로 323,37.5922389,127.0145535
서울특별시 도봉구 도봉로 895,37.6555968,127.039105
서울특별시 송파구 위례중앙로 43,37.47543385,127.13217546583301
서울특별시 송파구 탄천동로 740,37.5165184,127.0696411
서울특별시 동대문구 왕산로 289,37.5805669,127.0459512
서울특별시 광진구 자양로 103,37.5446744,127.0850192
서울특별시 강서구 국회대로 225,37.5290717,126.8568533
서울특별시 은평구 응암로 210,37.5928249,126.9173753
서울특별시 금천구 시흥대로 118,37.4374006,126.9029249
서울특별시 중랑구 망우로 475,37.5939243,127.0762806
서울특별시 서초구 사평대로 364,37.5037619,127.0231999
서울특별시 강동구 올림픽로 791,37.5385448,127.1234736
서울특별시 강동구 천호대로 1452,37.5450909,127.1700659
서울특별시 영등포구 은행로 64,37.5295537,126.9235887
서울특별시 강남구 삼성로 563,37.5067702,127.0567976
서울특별시 강서구 공항대로 468,37.5605269,126.8179056
서울특별시 영등포구 도림로 415,37.5085448,126.8996168
서울특별시 강동구 양재대로 1323,37.5340323,127.1385781
서울특별시 관악구 남부순환로 1920,37.4772187,126.96242875
